stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1827,222,"Bera Bera 47",,43.3015101059,-1.9963797175,40,,0,
1828,223,"Bera Bera 31",,43.3005636689,-1.99464630497,40,,0,
1829,224,"Bera Bera 2",,43.3015464669,-1.99143012331,40,,0,
1830,225,Etxadi,"Etxadi (L19,23)",43.3025188263,-1.99011648905,40,,0,
1831,226,Munto,"Aiete 53 (L19,23,31,35)",43.3073497247,-1.99256682411,40,,0,
1832,227,Melodi,Iza,43.3100033422,-1.9909760091,40,,0,
1833,228,"La Cumbre","Aiete 1",43.3107936946,-1.98972987101,40,,0,
1834,229,Marianistak,,43.3143991376,-1.98710518873,40,,0,
1835,23,"Patxillardegi, Entre Nº64 Y Nº 14,loyola (Donostia)","Patxillardegi (26,27)",43.3087044749,-1.96664054031,40,,0,
1836,230,"Katalina Eleizegi 2",,43.3066891635,-1.9873948302,40,,0,
1837,231,"Katalina Eleizegi 34",,43.3048316999,-1.98803958576,40,,0,
1838,232,"Katalina Eleizegi 48",,43.3032005556,-1.98724694031,40,,0,
1839,233,"Sierra Aralar",,43.310702,-1.965859,40,,0,
1840,234,"Errondoko Gaina 107","Errondoko Gaina 107/A.De E.107",43.3008251947,-1.9872142877,40,,0,
1841,235,"Errondoko Gaina 91","Errondoko Gaina 91/A.De E.91",43.3008879129,-1.98451461391,40,,0,
1842,236,"Errondoko Gaina 55","Errondoko Gaina 55/A.De E.55",43.3020294053,-1.98303043128,40,,0,
1843,237,"Errondoko Gaina 27","Errondoko Gaina 27/A.De E.27",43.3009193297,-1.98021133524,40,,0,
1845,239,"Zumalakarregi 10","Zumalakarreg 10(L25,33,35,40 )",43.3147188193,-2.00249118077,40,,0,
1846,24,"Loiola Topo",Loiola-Topo,43.3104848576,-1.96779504916,40,,0,
1847,240,"Antiguoko Anbulategia","Antiguoko Anbulatorioa",43.3133289175,-2.00530310069,40,,0,
1848,241,"Magistero, Av Tolosa 14","Magistetol.14(L25,24,33,35,40)",43.3115729116,-2.00898724255,40,,0,
1849,242,Unibertsitatea,"Unibertsitatea E.",43.3082251648,-2.0110797206,40,,0,
1850,243,Unibertsitatea,"Elhuyar Pza.",43.3079830617,-2.01086779975,40,,0,
1851,244,"Berio 22",,43.3069545936,-2.01582737715,40,,0,
1852,245,"Berio 19",,43.3071345041,-2.01476682083,40,,0,
1853,246,"Berio 45",Aspace,43.3053961932,-2.01689937668,40,,0,
1854,247,"Berio 45","Berio 45 (L33)",43.3053952635,-2.01679147113,40,,0,
1855,248,"Berio 78",,43.3034608526,-2.01549330015,40,,0,
1856,249,"Portuetxe 2",,43.3032205369,-2.00855834537,40,,0,
1857,25,"Zurriola Kursaal",,43.324677,-1.976536,40,,0,
1858,250,"Portuetxe 9",,43.3030565277,-2.00841585762,40,,0,
1859,251,"Portuetxe 10",,43.3021427309,-2.01005280564,40,,0,
1860,252,Peruene,"Portuetxe 21",43.3021522682,-2.00969892156,40,,0,
1861,253,"Portuetxe 18",,43.302132531,-2.01273441251,40,,0,
1862,254,"Banco Guipuzcoano","Portuetxe 35",43.3017686235,-2.01284592862,40,,0,
1863,255,Errotazar,,43.3015072226,-2.01634095436,40,,0,
1864,256,Errotazar,"Portuetxe 51",43.3013155248,-2.0163322487,40,,0,
1865,257,Igara,,43.3013106166,-2.02125184856,40,,0,
1866,258,"Berio 73",,43.3028112165,-2.01417239978,40,,0,
1867,259,"Berio 63",,43.3037885442,-2.01575829791,40,,0,
1868,26,"Madrid 19","Madrid 19 (L21,28)",43.3033671336,-1.97541179907,40,,0,
1869,260,"Zorroaga, 39 (Donostia)","Begiristain I",43.3007075808,-1.96815326623,40,,0,
1870,261,"Zorroaga, 39 (Donostia)","Begiristain Ii",43.3008429463,-1.96795631045,40,,0,
1871,262,Lorearte,,43.2953655242,-1.96666071863,40,,0,
1872,263,Txiskuene,,43.295647203,-1.96642916754,40,,0,
1873,264,"Donostiako Ospitalea I",,43.2936061839,-1.96809490581,40,,0,
1874,265,"Hospital Donostia","Hospital Donostia (28,31,35)",43.2931501398,-1.96880404381,40,,0,
1875,266,"Ospitalea/Hospital I",,43.2930678548,-1.97060336835,40,,0,
1876,267,"Ospitalea/Hospital Ii",,43.2928010361,-1.97046962143,40,,0,
1877,268,"Uri Gain","Begiristain 220",43.2918227458,-1.97371892027,40,,0,
1878,269,"Avda. Zarautz 122","Avda. Zarautz, 122",43.3028020905,-2.00347137041,40,,0,
1879,27,"Madrid 5","Madrid 5 (L21,l26,l28)",43.3050203188,-1.97709827838,40,,0,
1880,270,Urigain,"Uri Gain",43.2918242496,-1.97307726766,40,,0,
1881,271,Miramon,Miramón,43.2893046953,-1.98142281328,40,,0,
1882,273,"Mikeleteak 4","Mikeleteak 4 (L18)",43.3138587204,-2.00008009662,40,,0,
1883,274,"Mikeleteak 1",,43.3137231133,-1.99994423397,40,,0,
1884,275,Jauregia/Palacio,"Portuene 2",43.3108034441,-1.99900180292,40,,0,
1885,276,Jauregia/Palacio,,43.3108509257,-1.99892752807,40,,0,
1886,277,"Avda Tolosa Frente Universidad (Donostia)","Unibertsitatea T.70 I",43.3079760497,-2.00970535548,40,,0,
1887,278,"Tolosa 112",,43.3047757205,-2.0067049996,40,,0,
1888,279,Infierno,,43.2988851856,-2.00084480211,40,,0,
1889,28,"Sancho El Sabio 35, Astoria","S.E.Sabio 35 (L21,26,28,32)",43.3079910857,-1.97947941079,40,,0,
1890,281,Ibaeta-Tolosa,"Ibaeta Tolosa",43.3039215274,-2.00679445187,40,,0,
1892,283,"Marrutxipi Cocheras",Marrutxipi-Cocheras,43.318366284,-1.96059313011,40,,0,
1893,284,"Barcelona 15",,43.3096754901,-1.97194739008,40,,0,
1894,285,"Urgull-Cementerio De Los Ingleses","Urgull Cem. De Los Ingleses Ii",43.326026037,-1.98851555652,40,,0,
1895,286,Matigoxotegi,Matigotxotegi,43.3186838013,-1.96385088964,40,,0,
1896,287,"Errekalde Ii",,43.2777355829,-2.01007779719,40,,0,
1897,288,"Fvirgen Del Carmen 3","Virgen Del Carmen 3",43.3165516609,-1.97211319691,40,,0,
1898,289,"Igeldo 25",,43.3146936319,-2.00754179141,40,,0,
1899,29,"Antso Jakituna 11/Sancho El Sabio 11","Antso Jakituna 11/S. El S.11",43.3104633698,-1.980000404,40,,0,
